Date - Time,Count,Rain(inches),Date - Time 2,Stage,Flow
10/18/17 19:00,12.36,0,10/18/17 19:00,1.07,1
10/18/17 18:45,12.36,0,10/18/17 18:45,0.97,1
10/18/17 18:30,12.36,0,10/18/17 18:30,0.98,1
10/18/17 18:15,12.36,0,10/18/17 18:15,1.01,1
10/18/17 18:00,12.36,0,10/18/17 18:00,0.99,1
10/18/17 17:45,12.36,0,10/18/17 17:45,0.98,1
10/18/17 17:30,12.36,0,10/18/17 17:30,0.99,1
10/18/17 17:15,12.36,0,10/18/17 17:15,0.99,1
10/18/17 17:00,12.36,0,10/18/17 17:00,0.99,1
10/18/17 16:45,12.36,0,10/18/17 16:45,0.99,1
10/18/17 16:30,12.36,0,10/18/17 16:30,1.04,1
10/18/17 16:15,12.36,0,10/18/17 16:15,0.98,1
10/18/17 16:00,12.36,0,10/18/17 16:00,1.03,1
10/18/17 15:45,12.36,0,10/18/17 15:45,0.99,1
10/18/17 15:30,12.36,0,10/18/17 15:30,1.07,1
10/18/17 15:15,12.36,0,10/18/17 15:15,1.01,1
10/18/17 15:00,12.36,0,10/18/17 15:00,1.1,1
10/18/17 14:45,12.36,0,10/18/17 14:45,1,1
10/18/17 14:30,12.36,0,10/18/17 14:30,1,1
10/18/17 14:15,12.36,0,10/18/17 14:15,1.02,1
10/18/17 14:00,12.36,0,10/18/17 14:00,0.97,1
10/18/17 13:45,12.36,0,10/18/17 13:45,1,1
10/18/17 13:30,12.36,0,10/18/17 13:30,1,1
10/18/17 13:15,12.36,0,10/18/17 13:15,1,1
10/18/17 13:00,12.36,0,10/18/17 13:00,1.03,1
10/18/17 12:45,12.36,0,10/18/17 12:45,1.03,1
10/18/17 12:30,12.36,0,10/18/17 12:30,0.99,1
10/18/17 12:15,12.36,0,10/18/17 12:15,1.01,1
10/18/17 12:00,12.36,0,10/18/17 12:00,0.99,1
10/18/17 11:45,12.36,0,10/18/17 11:45,0.98,1
10/18/17 11:30,12.36,0,10/18/17 11:30,0.99,1
10/18/17 11:15,12.36,0,10/18/17 11:15,0.98,1
10/18/17 11:00,12.36,0,10/18/17 11:00,1,1
10/18/17 10:45,12.36,0,10/18/17 10:45,1,1
10/18/17 10:30,12.36,0,10/18/17 10:30,1.03,1
10/18/17 10:15,12.36,0,10/18/17 10:15,1.01,1
10/18/17 10:00,12.36,0,10/18/17 10:00,0.87,0
10/18/17 9:45,12.36,0,10/18/17 9:45,1,1
10/18/17 9:30,12.36,0,10/18/17 9:30,0.96,1
10/18/17 9:15,12.36,0,10/18/17 9:15,1,1
10/18/17 9:00,12.36,0,10/18/17 9:00,1.02,1
10/18/17 8:45,12.36,0,10/18/17 8:45,0.99,1
